date,floor,bedroom,bathroom,square,district,investor,price
03/10/2020,2,2,2,69.0,Hà Đông,Khu đô thị mới Xa La,980.0
03/10/2020,1,3,3,128.0,Cầu Giấy,Sky Park Residence,5970.0
29/09/2020,4,2,2,95.0,Cầu Giấy,Richland Southern,2990.0
03/10/2020,3,3,2,105.0,Thanh Xuân,King Palace,3700.0
03/10/2020,3,NULL,NULL,NULL,Nam Từ Liêm,Mon City,1700.0
03/10/2020,1,NULL,NULL,76.0,Cầu Giấy,Park View City,2660.0
03/10/2020,2,3,NULL,132.0,Hà Đông,Mulberry Lane,2900.0
03/10/2020,3,3,3,160.0,Ba Đình,The Golden Armor,NULL
03/10/2020,4,NULL,NULL,54.0,Nam Từ Liêm,Vinhomes Smart City Đại Mỗ,1580.0
03/10/2020,0,2,2,67.0,Hà Đông,Khu đô thị mới Xa La,1000.0
03/10/2020,4,3,2,78.47,Long Biên,Berriver Long Biên,2600.0
03/10/2020,3,4,3,187.6,Bắc Từ Liêm,Kosmo Tây Hồ,7980.0
03/10/2020,4,NULL,NULL,128.0,Cầu Giấy,Chelsea Park,3650.0
03/10/2020,0,2,2,64.5,Hà Đông,Phú Thịnh Green Park,1520.0
03/10/2020,4,3,2,120.0,Hà Đông,Xuân Mai Complex,2400.0
03/10/2020,1,3,2,108.0,Bắc Từ Liêm,IA20 Ciputra,2600.0
03/10/2020,1,3,2,90.0,Nam Từ Liêm,Startup Tower,1500.0
03/10/2020,1,2,2,54.3,Hoàng Mai,Khu đô thị Kim Văn - Kim Lũ (Golden Silk),1010.0
03/10/2020,4,2,2,65.0,Thanh Xuân,Tân Hồng Hà Complex,1950.0
03/10/2020,2,2,2,76.0,Cầu Giấy,Mipec Rubik 360,3200.0
03/10/2020,2,NULL,NULL,67.0,Hà Đông,Anland Nam Cường,1870.0
03/10/2020,2,2,2,76.0,Tây Hồ,D' EL Dorado,2300.0
04/10/2020,2,2,2,95.0,Hà Đông,Usilk City,1520.0
03/10/2020,0,NULL,NULL,58.4,Tây Hồ,Sunshine Riverside,2200.0
04/10/2020,0,2,2,60.0,Thanh Trì,Chung cư Đại Thanh,910.0
04/10/2020,4,3,2,107.0,Hà Đông,Khu đô thị mới Xa La,1600.0
04/10/2020,3,2,2,74.0,Bắc Từ Liêm,Nhà ở cho cán bộ chiến sỹ Bộ Công an,NULL
03/10/2020,4,NULL,NULL,79.0,Thanh Xuân,Imperial Plaza,2172.5
04/10/2020,1,NULL,NULL,95.0,Nam Từ Liêm,The Emerald,2800.0
04/10/2020,1,NULL,NULL,95.0,Nam Từ Liêm,The Emerald,2870.0
04/10/2020,0,NULL,NULL,103.0,Hai Bà Trưng,Imperia Sky Garden,4860.0
04/10/2020,2,NULL,NULL,81.0,Nam Từ Liêm,The Emerald,2750.0
04/10/2020,3,2,2,80.0,Hà Đông,Usilk City,1380.0
04/10/2020,0,3,3,165.0,Hà Đông,Usilk City,2200.0
04/10/2020,3,3,3,130.0,Bắc Từ Liêm,N03-T3&T4 Ngoại Giao Đoàn,NULL
04/10/2020,1,NULL,NULL,70.0,Hoài Đức,THT New City,994.0
04/10/2020,2,2,2,83.0,Hai Bà Trưng,Times City,2490.0
04/10/2020,1,3,2,110.0,Hai Bà Trưng,Times City,3400.0
04/10/2020,0,2,1,90.0,Hai Bà Trưng,Times City,2700.0
04/10/2020,1,3,2,120.0,Hai Bà Trưng,Vinhomes Times City - Park Hill,4400.0
04/10/2020,0,3,2,122.0,Hai Bà Trưng,Vinhomes Times City - Park Hill,4300.0
04/10/2020,3,2,2,63.0,Hà Đông,Khu đô thị mới Xa La,920.0
04/10/2020,1,2,2,74.0,Hà Đông,The Terra An Hưng,1740.0
04/10/2020,0,3,2,131.0,Nam Từ Liêm,Khu phức hợp cao tầng Mỹ Đình,3275.0
04/10/2020,3,2,2,87.0,Hai Bà Trưng,Vinhomes Times City - Park Hill,3045.0
04/10/2020,2,2,2,70.0,Hà Đông,Khu đô thị mới Xa La,1050.0
21/09/2020,4,3,2,98.0,Nam Từ Liêm,Khu phức hợp cao tầng Mỹ Đình,2150.0
18/09/2020,3,2,2,79.0,Nam Từ Liêm,CT2 Trung Văn - Vinaconex 3,1896.0
24/09/2020,0,2,2,67.0,Hoàng Mai,HH4 Linh Đàm,1200.0
27/09/2020,4,2,2,86.5,Đống Đa,Vinhomes Nguyễn Chí Thanh,4800.0
27/09/2020,1,NULL,NULL,NULL,Long Biên,Sunshine Green Iconic,NULL
28/09/2020,1,3,NULL,121.0,Bắc Từ Liêm,Nhà ở cho cán bộ chiến sỹ Bộ Công an,3300.0
28/09/2020,1,3,2,169.0,Thanh Xuân,Royal City,3700.0
28/09/2020,2,3,2,139.0,Bắc Từ Liêm,Goldmark City,3680.0
28/09/2020,0,2,2,69.0,Nam Từ Liêm,Athena Complex,1518.0
29/09/2020,4,NULL,NULL,NULL,Hoàng Mai,Rose Town,NULL
29/09/2020,2,3,2,93.0,Hoàng Mai,Geleximco Souther Star,NULL
29/09/2020,4,NULL,NULL,110.0,Cầu Giấy,Vinhomes D'Capitale,NULL
29/09/2020,4,1,1,36.0,Gia Lâm,Vinhomes Ocean Park Gia Lâm,450.0
29/09/2020,4,2,1,80.0,Cầu Giấy,Khu đô thị mới Cầu Giấy,2500.0
29/09/2020,4,2,2,54.0,Hoàng Mai,Green Park Trần Thủ Độ,1400.0
30/09/2020,0,2,NULL,90.0,Hà Đông,Mulberry Lane,2250.0
30/09/2020,2,3,NULL,119.5,Long Biên,Berriver Long Biên,3500.0
29/09/2020,2,3,NULL,86.0,Nam Từ Liêm,Vinhomes Green Bay Mễ Trì,3300.0
30/09/2020,1,3,2,168.0,Cầu Giấy,Mandarin Garden,NULL
30/09/2020,1,2,1,62.0,Nam Từ Liêm,Vinhomes Green Bay Mễ Trì,2390.0
30/09/2020,3,2,2,62.0,Hoàng Mai,Geleximco Souther Star,1780.0
30/09/2020,0,3,2,116.0,Bắc Từ Liêm,Goldmark City,3480.0
30/09/2020,1,3,2,94.1,Nam Từ Liêm,B.I.G Tower,2200.0
30/09/2020,2,3,NULL,NULL,Thanh Xuân,Chung cư PCC1 Triều Khúc,2490.0
30/09/2020,2,3,2,94.0,Nam Từ Liêm,The Zei Mỹ Đình,3300.0
30/09/2020,2,2,2,65.0,Hoài Đức,Gemek Tower,1250.0
30/09/2020,4,2,2,55.0,Nam Từ Liêm,FLC Garden City,1123.0
30/09/2020,3,3,2,100.0,Hoài Đức,Thăng Long Capital,1800.0
30/09/2020,3,2,2,72.0,Cầu Giấy,Vinhomes D'Capitale,2800.0
30/09/2020,4,2,NULL,52.0,Hoàng Mai,Rose Town,1300.0
30/09/2020,4,2,2,74.5,Bắc Từ Liêm,Nhà ở cho cán bộ chiến sỹ Bộ Công an,2100.0
30/09/2020,4,3,NULL,120.0,Ba Đình,Hà Nội Aqua Central,8000.0
30/09/2020,0,4,2,153.0,Tây Hồ,Khu đô thị Nam Thăng Long - Ciputra,3700.0
30/09/2020,2,2,2,68.0,Thanh Xuân,Chung cư PCC1 Triều Khúc,NULL
30/09/2020,3,3,2,85.0,Hoàng Mai,Green Park Trần Thủ Độ,1955.0
30/09/2020,3,2,NULL,53.0,Nam Từ Liêm,Vinhomes Green Bay Mễ Trì,1800.0
30/09/2020,4,3,NULL,168.0,Tây Hồ,Udic Westlake,NULL
30/09/2020,4,3,2,86.0,Bắc Từ Liêm,Nhà ở cán bộ nhân viên TP. Hà Nội,2000.0
30/09/2020,1,3,2,112.74,Nam Từ Liêm,The Matrix One,NULL
01/10/2020,0,3,2,95.6,Cầu Giấy,Golden Park Tower,NULL
01/10/2020,0,2,2,88.0,Tây Hồ,D’. Le Roi Soleil - Quảng An,5600.0
01/10/2020,2,2,2,83.0,Bắc Từ Liêm,Goldmark City,2250.0
02/10/2020,0,NULL,NULL,62.0,Nam Từ Liêm,Vinhomes Green Bay Mễ Trì,2500.0
01/10/2020,0,2,2,64.45,Bắc Từ Liêm,Khu đô thị mới Resco,1750.0
02/10/2020,3,NULL,NULL,NULL,Long Biên,Berriver Long Biên,NULL
02/10/2020,1,3,2,130.0,Bắc Từ Liêm,Goldmark City,3800.0
03/10/2020,1,NULL,NULL,95.0,Bắc Từ Liêm,Khu Ngoại Giao Đoàn,NULL
03/10/2020,1,NULL,NULL,NULL,Tây Hồ,Udic Westlake,NULL
03/10/2020,3,2,2,66.0,Long Biên,Vinhomes Symphony Riverside,2300.0
03/10/2020,0,NULL,NULL,NULL,Bắc Từ Liêm,Nhà ở cho cán bộ chiến sỹ Bộ Công an,NULL
03/10/2020,2,2,2,59.2,Bắc Từ Liêm,Khu Ngoại Giao Đoàn,NULL
03/10/2020,3,NULL,NULL,NULL,Bắc Từ Liêm,Goldmark City,NULL
03/10/2020,3,NULL,NULL,NULL,Long Biên,Berriver Long Biên,NULL
03/10/2020,1,NULL,NULL,65.0,Nam Từ Liêm,Vinhomes Green Bay Mễ Trì,NULL
03/10/2020,3,2,2,NULL,Nam Từ Liêm,Vinhomes Green Bay Mễ Trì,1020.0
03/10/2020,3,NULL,NULL,135.0,Long Biên,Vinhomes Symphony Riverside,NULL
03/10/2020,3,3,2,128.0,Tây Hồ,Sun Grand City,7900.0
03/10/2020,3,3,2,NULL,Tây Hồ,Udic Westlake,NULL
04/10/2020,4,2,2,130.0,Cầu Giấy,Mandarin Garden,5980.0
04/10/2020,1,2,2,88.0,Hà Đông,Chung cư Hemisco Xa La,1300.0
01/10/2020,2,NULL,NULL,NULL,Long Biên,Sunshine Green Iconic,NULL
24/08/2020,0,2,2,70.0,Nam Từ Liêm,Vinhomes Skylake,NULL
02/10/2020,3,NULL,NULL,157.9,Cầu Giấy,Mandarin Garden,NULL
02/10/2020,1,2,2,127.7,Cầu Giấy,Mandarin Garden,5682.650000000001
02/10/2020,4,2,NULL,71.0,Cầu Giấy,Home City Trung Kính,2700.0
02/10/2020,1,2,1,64.71,Cầu Giấy,D22 Bộ Tư Lệnh Biên Phòng,1900.0
02/10/2020,3,3,2,100.1,Đống Đa,The Terra Hào Nam,NULL
02/10/2020,3,3,3,154.3,Hà Đông,Mulberry Lane,3800.0
02/10/2020,3,2,NULL,71.0,Long Biên,TSG Lotus Sài Đồng,1900.0
02/10/2020,1,3,2,100.0,Thanh Xuân,GoldSeason,3400.0
02/10/2020,2,NULL,NULL,72.0,Long Biên,TSG Lotus Sài Đồng,NULL
02/10/2020,1,2,1,NULL,Nam Từ Liêm,Vinhomes Smart City Đại Mỗ,1600.0
02/10/2020,1,2,NULL,NULL,Thanh Xuân,Chung cư PCC1 Triều Khúc,1850.0
02/10/2020,0,NULL,NULL,56.9,Hoàng Mai,Đồng Phát Park View Tower,3100.0
02/10/2020,4,3,2,107.0,Hà Đông,ParkCity Hà Nội,3852.0
02/10/2020,3,2,2,79.0,Nam Từ Liêm,Mỹ Đình Pearl,2900.0
02/10/2020,1,2,NULL,70.0,Cầu Giấy,Home City Trung Kính,2150.0
02/10/2020,3,3,2,106.0,Bắc Từ Liêm,Goldmark City,NULL
02/10/2020,2,2,2,86.0,Nam Từ Liêm,Vinhomes Gardenia,3200.0
02/10/2020,0,NULL,NULL,NULL,Hoàng Mai,Green Park Trần Thủ Độ,NULL
02/10/2020,2,NULL,NULL,52.0,Hoàng Mai,Green Park Trần Thủ Độ,1196.0
25/09/2020,1,2,2,84.0,Thanh Xuân,The Artemis,4500.0
02/10/2020,1,2,1,60.0,Gia Lâm,Vinhomes Ocean Park Gia Lâm,1520.0
02/10/2020,3,NULL,NULL,100.0,Bắc Từ Liêm,Sunshine City,3350.0
02/10/2020,1,2,2,63.0,Nam Từ Liêm,Khu đô thị Đại Mỗ - Hà Nội,16.8
03/10/2020,3,3,2,132.0,Nam Từ Liêm,Iris Garden,4000.0
02/10/2020,0,3,2,122.4,Hai Bà Trưng,Vinhomes Times City - Park Hill,6100.0
03/10/2020,3,2,2,73.2,Tây Hồ,Tây Hồ Residence,3400.0
03/10/2020,2,NULL,NULL,28.0,Gia Lâm,Vinhomes Ocean Park Gia Lâm,850.0
03/10/2020,3,3,2,107.0,Hai Bà Trưng,Sunshine Garden,2996.0
03/10/2020,2,NULL,NULL,NULL,Tây Hồ,Khu đô thị Nam Thăng Long - Ciputra,NULL
03/10/2020,0,3,2,90.0,Bắc Từ Liêm,An Bình City,2980.0
03/10/2020,0,2,2,85.0,Cầu Giấy,Mipec Rubik 360,3315.0
03/10/2020,0,3,2,105.7,Cầu Giấy,Chelsea Residences,4175.150000000001
03/10/2020,4,2,2,60.0,Nam Từ Liêm,FLC Garden City,1008.0
03/10/2020,3,4,2,153.0,Tây Hồ,Khu đô thị Nam Thăng Long - Ciputra,3800.0
03/10/2020,3,2,NULL,74.0,Bắc Từ Liêm,An Bình City,2200.0
03/10/2020,2,3,2,108.7,Hai Bà Trưng,Sunshine Garden,3043.6
03/10/2020,3,2,2,84.0,Bắc Từ Liêm,Goldmark City,2100.0
03/10/2020,4,2,2,84.0,Hà Đông,Anland Lake View,1900.0
03/10/2020,3,2,2,55.0,Hai Bà Trưng,Times City,1800.0
04/10/2020,4,1,1,59.8,Tây Hồ,6th Element,2400.0
03/10/2020,4,3,NULL,107.0,Nam Từ Liêm,Vinhomes West Point,3800.0
04/10/2020,0,3,NULL,100.0,Nam Từ Liêm,Vinhomes Skylake,4500.0
23/09/2020,2,NULL,NULL,NULL,Hai Bà Trưng,Sunshine Garden,NULL
26/09/2020,3,2,2,66.0,Nam Từ Liêm,Vinhomes Skylake,2950.0
04/10/2020,0,2,2,65.0,Nam Từ Liêm,Vinhomes Skylake,2600.0
25/09/2020,1,3,3,146.0,Tây Hồ,D’. Le Roi Soleil - Quảng An,6500.0
25/09/2020,2,1,1,38.0,Cầu Giấy,Vinhomes D'Capitale,NULL
25/09/2020,4,3,2,76.0,Nam Từ Liêm,Vinhomes Smart City Đại Mỗ,2600.0
26/09/2020,4,2,2,65.64,Nam Từ Liêm,Vinhomes Skylake,2600.0
28/09/2020,0,NULL,NULL,143.0,Bắc Từ Liêm,Goldmark City,3575.0
30/09/2020,0,1,1,38.0,Cầu Giấy,Vinhomes D'Capitale,1500.0
30/09/2020,3,2,2,78.2,Hai Bà Trưng,Vinhomes Times City - Park Hill,3550.0
30/09/2020,4,2,NULL,71.0,Long Biên,TSG Lotus Sài Đồng,1980.0
30/09/2020,0,2,2,74.0,Hà Đông,Anland Lake View,2000.0
30/09/2020,0,1,NULL,53.0,Hai Bà Trưng,Times City,1900.0
01/10/2020,4,3,2,90.0,Bắc Từ Liêm,An Bình City,2800.0
01/10/2020,1,3,2,190.0,Hoàn Kiếm,Pacific Place,13000.0
01/10/2020,0,2,2,60.0,Nam Từ Liêm,Iris Garden,1850.0
01/10/2020,0,2,2,78.0,Bắc Từ Liêm,Goldmark City,2100.0
01/10/2020,1,2,2,83.0,Tây Hồ,6th Element,3154.0
01/10/2020,1,4,4,153.0,Tây Hồ,Khu đô thị Nam Thăng Long - Ciputra,5600.0
01/10/2020,1,1,1,55.0,Hai Bà Trưng,Vinhomes Times City - Park Hill,1800.0
01/10/2020,2,3,2,82.0,Long Biên,Ecohome Phúc Lợi,1599.0
01/10/2020,3,NULL,NULL,60.0,Tây Hồ,6th Element,2340.0
01/10/2020,1,3,2,95.54,Hà Đông,Chung cư Booyoung,2500.0
01/10/2020,0,3,3,108.0,Hai Bà Trưng,Sunshine Garden,3500.0
01/10/2020,3,2,NULL,81.0,Long Biên,HC Golden City,NULL
01/10/2020,4,2,NULL,52.0,Hoàng Mai,Green Park Trần Thủ Độ,NULL
01/10/2020,4,3,2,150.0,Thanh Xuân,Stellar Garden,4800.0
01/10/2020,0,3,2,107.7,Nam Từ Liêm,The Zei Mỹ Đình,4308.0
01/10/2020,1,NULL,NULL,64.0,Hoàng Mai,Gamuda City (Gamuda Gardens),1680.0
02/10/2020,1,2,2,82.0,Hai Bà Trưng,Imperia Sky Garden,2700.0
01/10/2020,2,2,2,55.0,Nam Từ Liêm,FLC Garden City,NULL
