date,floor,bedroom,bathroom,square,district,investor,price
02/10/2020,1,3,NULL,NULL,Thanh Xuân,Thống Nhất Complex,NULL
02/10/2020,0,2,2,89.0,Thanh Xuân,Hei Tower,2600.0
02/10/2020,4,2,1,48.88,Hoàng Mai,Khu đô thị Kim Văn - Kim Lũ (Golden Silk),1390.0
02/10/2020,0,2,2,98.3,Thanh Xuân,Hapulico Complex,2800.0
02/10/2020,3,2,1,61.3,Ba Đình,Chung cư C1 Thành Công,NULL
02/10/2020,0,2,1,60.0,Hoàng Mai,Nhà ở xã hội Đồng Mô,1530.0
02/10/2020,3,3,NULL,86.0,Nam Từ Liêm,Mon City,3000.0
02/10/2020,2,3,2,97.0,Nam Từ Liêm,Khu đô thị Mỹ Đình I,2150.0
02/10/2020,2,1,1,46.0,Gia Lâm,Vinhomes Ocean Park Gia Lâm,1400.0
02/10/2020,4,2,2,71.0,Cầu Giấy,Khu đô thị Yên Hòa,NULL
02/10/2020,0,2,2,69.9,Hoài Đức,Thăng Long Capital,1450.0
02/10/2020,4,2,2,65.0,Hoàng Mai,Athena Complex Pháp Vân,1365.0
02/10/2020,3,1,1,45.0,Hoàng Mai,HH3 Linh Đàm,650.0
02/10/2020,4,NULL,NULL,140.0,Cầu Giấy,Khu đô thị Yên Hòa,NULL
02/10/2020,0,2,2,71.0,Long Biên,Khu đô thị Sài Đồng,1980.0
02/10/2020,1,2,2,57.6,Cầu Giấy,Chung cư 30 Phạm Văn Đồng,1400.0
02/10/2020,1,3,2,99.0,Nam Từ Liêm,Keangnam Hanoi Landmark Tower,3900.0
02/10/2020,1,3,2,128.0,Bắc Từ Liêm,Goldmark City,3600.0
02/10/2020,2,3,2,95.0,Hoàng Mai,New Horizon City - 87 Lĩnh Nam,2300.0
10/07/2020,3,2,NULL,80.0,Hai Bà Trưng,Vinhomes Times City - Park Hill,3150.0
02/10/2020,0,2,2,56.0,Hoàng Mai,HH1 Linh Đàm,870.0
02/10/2020,3,1,NULL,45.0,Hoàng Mai,HH1 Linh Đàm,675.0
02/10/2020,1,2,NULL,NULL,Hoàng Mai,VP5 Linh Đàm,1400.0
02/10/2020,2,3,2,128.0,Bắc Từ Liêm,Goldmark City,3600.0
02/10/2020,1,2,2,60.0,Thanh Xuân,Chung cư PCC1 Triều Khúc,1925.0
02/10/2020,2,3,NULL,76.27,Hoàng Mai,HH3 Linh Đàm,NULL
02/10/2020,0,3,2,133.0,Bắc Từ Liêm,N01-T8 Ngoại Giao Đoàn,NULL
02/10/2020,4,2,2,71.4,Long Biên,HC Golden City,2400.0
02/10/2020,4,NULL,NULL,50.0,Tây Hồ,Sun Grand City,2480.0
02/10/2020,1,NULL,NULL,59.0,Bắc Từ Liêm,Khu Ngoại Giao Đoàn,1534.0
02/10/2020,3,3,2,95.54,Hà Đông,Chung cư Booyoung,2540.0
02/10/2020,1,2,2,58.0,Hà Đông,The K Park,NULL
02/10/2020,4,3,2,128.9,Bắc Từ Liêm,Goldmark City,NULL
02/10/2020,0,3,2,79.6,Nam Từ Liêm,Vinhomes Smart City Đại Mỗ,3400.0
02/10/2020,4,NULL,NULL,153.0,Ba Đình,Grandeur Palace,13000.0
02/10/2020,2,NULL,NULL,322.0,Hà Đông,The Pride,6300.0
02/10/2020,4,3,2,128.0,Bắc Từ Liêm,Goldmark City,3600.0
02/10/2020,3,2,2,92.0,Bắc Từ Liêm,IA20 Ciputra,2208.0
02/10/2020,4,2,1,61.0,Long Biên,Valencia Garden,1500.0
02/10/2020,3,3,2,101.0,Nam Từ Liêm,Ecolife Capitol,2900.0
02/10/2020,1,2,2,69.0,Hoàng Mai,Athena Complex Pháp Vân,1518.0
02/10/2020,2,3,NULL,100.0,Nam Từ Liêm,C14 - Bộ Công An,1900.0
02/10/2020,4,2,NULL,70.0,Cầu Giấy,Central Field Trung Kính,2520.0
02/10/2020,4,4,4,170.0,Bắc Từ Liêm,Sunshine City,7200.0
02/10/2020,2,3,2,86.0,Long Biên,TSG Lotus Sài Đồng,2150.0
02/10/2020,1,3,2,92.0,Bắc Từ Liêm,IA20 Ciputra,2024.0
02/10/2020,3,NULL,NULL,NULL,Hoàng Mai,Athena Complex Pháp Vân,NULL
02/10/2020,1,3,2,83.0,Long Biên,Eco City Việt Hưng,2000.0
02/10/2020,4,2,NULL,72.0,Nam Từ Liêm,Mỹ Đình Pearl,2700.0
02/10/2020,0,3,2,122.0,Bắc Từ Liêm,Nhà ở cho cán bộ chiến sỹ Bộ Công an,3300.0
02/10/2020,0,NULL,NULL,81.5,Nam Từ Liêm,VOV Mễ Trì,1793.0
02/10/2020,1,3,NULL,92.0,Hà Đông,Park Kiara,3500.0
02/10/2020,3,4,NULL,180.0,Thanh Trì,Eco Green City,4800.0
02/10/2020,2,2,2,65.0,Hoàng Mai,Athena Complex Pháp Vân,1300.0
02/10/2020,0,1,1,31.2,Gia Lâm,Vinhomes Ocean Park Gia Lâm,870.0
23/09/2020,0,3,2,112.0,Nam Từ Liêm,Mỹ Đình Plaza 2,3300.0
02/10/2020,2,2,2,72.5,Thanh Xuân,Legend Tower 109 Nguyễn Tuân,NULL
02/10/2020,2,2,NULL,58.0,Cầu Giấy,Khu đô thị Nam Trung Yên,1630.0
02/10/2020,1,2,1,59.0,Cầu Giấy,Khu đô thị Nam Trung Yên,1650.0
02/10/2020,0,4,3,154.0,Hai Bà Trưng,Vinhomes Times City - Park Hill,8300.0
02/10/2020,2,3,2,83.0,Hà Đông,Phú Thịnh Green Park,NULL
02/10/2020,1,3,2,116.0,Nam Từ Liêm,Vinhomes Gardenia,NULL
02/10/2020,2,4,3,132.0,Bắc Từ Liêm,Khu Ngoại Giao Đoàn,NULL
02/10/2020,4,1,NULL,56.0,Ba Đình,Vinhomes Metropolis - Liễu Giai,4000.0
02/10/2020,3,2,2,115.0,Thanh Xuân,Royal City,NULL
02/10/2020,2,2,2,85.0,Nam Từ Liêm,Vinhomes Gardenia,3000.0
02/10/2020,3,3,2,91.1,Cầu Giấy,Golden Park Tower,NULL
02/10/2020,3,3,2,145.0,Thanh Xuân,Royal City,5220.0
02/10/2020,3,2,2,74.1,Bắc Từ Liêm,Nhà ở cho cán bộ chiến sỹ Bộ Công an,2100.0
02/10/2020,0,2,2,64.5,Hà Đông,Phú Thịnh Green Park,1500.0
02/10/2020,2,3,2,74.0,Gia Lâm,Vinhomes Ocean Park Gia Lâm,2640.0
02/10/2020,3,3,2,81.0,Hoàng Mai,Khu đô thị mới Pháp Vân - Tứ Hiệp,1250.0
02/10/2020,1,3,2,108.0,Thanh Trì,Hồng Hà Eco City,1998.0
02/10/2020,3,NULL,NULL,NULL,Hoàng Mai,VP5 Linh Đàm,2200.0
02/10/2020,3,3,2,152.0,Nam Từ Liêm,Dolphin Plaza,4600.0
02/10/2020,0,2,2,75.0,Thanh Xuân,GoldSeason,2500.0
02/10/2020,2,2,NULL,67.04,Hoàng Mai,HH3 Linh Đàm,980.0
02/10/2020,3,NULL,NULL,105.0,Ba Đình,The Golden Armor,5200.0
02/10/2020,2,2,2,66.0,Hoàng Mai,HH1 Linh Đàm,960.0
02/10/2020,4,2,2,71.0,Long Biên,TSG Lotus Sài Đồng,1988.0
02/10/2020,3,2,NULL,56.0,Hoàng Mai,Khu đô thị mới Linh Đàm,1000.0
02/10/2020,1,3,2,139.0,Đống Đa,Sky City Towers-88 Láng Hạ,5490.5
02/10/2020,2,4,3,159.6,Bắc Từ Liêm,Goldmark City,NULL
02/10/2020,3,2,2,95.0,Cầu Giấy,Richland Southern,2990.0
02/10/2020,4,2,1,56.0,Hà Đông,Anland 2,NULL
02/10/2020,4,3,NULL,102.0,Cầu Giấy,A10-A14 Nam Trung Yên,2815.2000000000003
02/10/2020,3,2,2,75.0,Hai Bà Trưng,Times City,3400.0
02/10/2020,3,2,NULL,68.0,Hai Bà Trưng,Vinhomes Times City - Park Hill,3100.0
02/10/2020,0,2,NULL,83.5,Cầu Giấy,Mipec Rubik 360,NULL
02/10/2020,2,2,2,67.0,Hoàng Mai,Athena Complex Pháp Vân,1474.0
02/10/2020,0,4,3,169.0,Bắc Từ Liêm,Goldmark City,4610.0
02/10/2020,3,3,2,86.0,Nam Từ Liêm,Mon City,2900.0
02/10/2020,1,3,2,NULL,Hoàng Mai,Geleximco Souther Star,NULL
02/10/2020,4,1,1,47.0,Hoàng Mai,HH1 Linh Đàm,850.0
02/10/2020,0,2,1,57.0,Long Biên,Hope Residence,1104.0
02/10/2020,3,NULL,NULL,129.0,Bắc Từ Liêm,Goldmark City,3225.0
02/10/2020,2,2,NULL,61.0,Cầu Giấy,A10-A14 Nam Trung Yên,2000.0
02/10/2020,2,3,2,102.0,Thanh Xuân,GoldSeason,3700.0
02/10/2020,3,3,2,143.0,Bắc Từ Liêm,Goldmark City,3403.4
02/10/2020,2,3,2,116.0,Hà Đông,Usilk City,1930.0
02/10/2020,2,2,2,87.0,Hai Bà Trưng,Times City,3250.0
02/10/2020,3,2,2,51.1,Cầu Giấy,Vinhomes D'Capitale,2400.0
02/10/2020,0,3,2,114.0,Bắc Từ Liêm,Goldmark City,3326.0
02/10/2020,2,2,2,66.0,Thanh Xuân,GoldSeason,2350.0
02/10/2020,2,3,2,80.0,Long Biên,Sunshine Green Iconic,3040.0
02/10/2020,4,2,2,70.0,Thanh Xuân,Rivera Park Hà Nội,3250.0
02/10/2020,2,3,2,121.0,Bắc Từ Liêm,Goldmark City,3332.0
02/10/2020,0,2,1,60.0,Hoàng Mai,Nhà ở xã hội Đồng Mô,1530.0
02/10/2020,0,2,2,94.0,Nam Từ Liêm,Golden Palace,2726.0
02/10/2020,1,3,2,125.7,Đống Đa,MIPEC Towers,4350.0
02/10/2020,2,3,NULL,114.0,Thanh Xuân,King Palace,4400.0
02/10/2020,0,3,2,95.0,Hà Đông,Chung cư Booyoung,2541.0
02/10/2020,3,3,2,95.0,Hà Đông,Chung cư Booyoung,2675.0
02/10/2020,0,4,2,130.0,Hoàng Mai,Mandarin Garden 2,4500.0
02/10/2020,3,2,2,69.0,Long Biên,Hope Residence,NULL
02/10/2020,1,3,NULL,81.0,Hoàng Mai,Smile Building,2150.0
02/10/2020,4,2,NULL,NULL,Nam Từ Liêm,Vinhomes Smart City Đại Mỗ,1600.0
02/10/2020,1,1,NULL,57.0,Ba Đình,Vinhomes Metropolis - Liễu Giai,4000.0
10/07/2020,0,NULL,NULL,92.0,Đống Đa,D’. Le Pont D’or - Hoàng Cầu,NULL
02/10/2020,1,2,2,78.0,Ba Đình,Vinhomes Metropolis - Liễu Giai,5400.0
07/08/2020,0,3,2,98.0,Cầu Giấy,Chung cư 113 Trung Kính,2646.0
02/10/2020,0,2,1,49.0,Hoàng Mai,Khu đô thị Kim Văn - Kim Lũ (Golden Silk),NULL
02/10/2020,1,2,2,76.0,Tây Hồ,D' EL Dorado,3300.0
02/10/2020,0,3,2,125.0,Cầu Giấy,Khu đô thị mới Cầu Giấy,3000.0
02/10/2020,4,3,3,111.0,Tây Hồ,D’. Le Roi Soleil - Quảng An,7000.0
02/10/2020,0,3,NULL,95.0,Cầu Giấy,Home City Trung Kính,3600.0
02/10/2020,4,2,NULL,69.0,Gia Lâm,Vinhomes Ocean Park Gia Lâm,1850.0
02/10/2020,1,2,2,63.6,Long Biên,Eco City Việt Hưng,1900.0
02/10/2020,0,3,2,98.0,Hoàng Mai,Khu đô thị mới Linh Đàm,1960.0
02/10/2020,0,3,2,112.0,Bắc Từ Liêm,Goldmark City,3300.0
02/10/2020,2,4,2,148.0,Tây Hồ,Udic Westlake,5071.0
02/10/2020,2,2,2,57.2,Hoàng Mai,Green Park Trần Thủ Độ,1570.0
02/10/2020,1,3,2,106.0,Hai Bà Trưng,Vinhomes Times City - Park Hill,4600.0
02/10/2020,3,2,2,71.0,Long Biên,Khu đô thị Sài Đồng,1980.0
02/10/2020,2,1,1,53.0,Hai Bà Trưng,Times City,1900.0
02/10/2020,4,2,2,88.0,Hà Đông,The Pride,1680.0
02/10/2020,3,2,2,85.0,Bắc Từ Liêm,Sunshine City,3200.0
02/10/2020,3,2,2,85.0,Hoàng Mai,Sunshine Palace,2330.0
02/10/2020,0,4,3,191.0,Tây Hồ,Sunshine Riverside,11500.0
02/10/2020,3,1,1,45.0,Hoàng Mai,Khu đô thị Kim Văn - Kim Lũ (Golden Silk),830.0
02/10/2020,1,NULL,NULL,125.0,Cầu Giấy,N04 - KĐT Đông Nam Trần Duy Hưng,4625.0
02/10/2020,3,2,NULL,67.0,Tây Hồ,Sunshine Riverside,2700.0
02/10/2020,2,3,2,149.0,Đống Đa,Chung cư M5 Nguyễn Chí Thanh,4100.0
02/10/2020,3,NULL,NULL,75.0,Bắc Từ Liêm,Nhà ở cho cán bộ chiến sỹ Bộ Công an,NULL
02/10/2020,1,3,2,105.0,Hà Đông,HP Landmark Tower,1800.0
02/10/2020,4,2,2,65.0,Hoàng Mai,Gelexia Riverside,1650.0
02/10/2020,3,3,NULL,107.0,Nam Từ Liêm,Keangnam Hanoi Landmark Tower,4100.0
02/10/2020,0,2,2,60.0,Hoàng Mai,Green Park Trần Thủ Độ,1500.0
02/10/2020,0,2,2,74.0,Hà Đông,Anland Nam Cường,1820.0
02/10/2020,3,3,2,128.9,Bắc Từ Liêm,Goldmark City,NULL
02/10/2020,1,2,2,73.0,Nam Từ Liêm,Mỹ Đình Plaza,2550.0
02/10/2020,1,2,NULL,93.6,Nam Từ Liêm,The Zei Mỹ Đình,3330.0
02/10/2020,1,2,2,75.6,Đông Anh,Intracom Riverside,1776.6
02/10/2020,1,2,2,60.0,Hoàng Mai,Green Park Trần Thủ Độ,1500.0
02/10/2020,2,2,2,73.0,Cầu Giấy,Dream Land Bonanza,2600.0
02/10/2020,1,2,2,76.27,Hoàng Mai,HH4 Linh Đàm,1350.0
02/10/2020,4,3,2,159.0,Nam Từ Liêm,FLC Landmark Tower,NULL
02/10/2020,2,2,2,NULL,Long Biên,HC Golden City,2400.0
02/10/2020,1,2,2,54.3,Hoàng Mai,Khu đô thị Kim Văn - Kim Lũ (Golden Silk),1100.0
02/10/2020,0,3,NULL,123.0,Tây Hồ,Khu đô thị Nam Thăng Long - Ciputra,3400.0
02/10/2020,2,2,2,77.7,Nam Từ Liêm,The Emerald,NULL
02/10/2020,4,4,3,192.0,Hà Đông,New Skyline,4200.0
02/10/2020,1,3,2,128.0,Nam Từ Liêm,Khu đô thị Mỹ Đình I,NULL
02/10/2020,3,2,2,NULL,Hoàng Mai,Rose Town,1400.0
02/10/2020,3,2,2,60.0,Nam Từ Liêm,Iris Garden,NULL
02/10/2020,1,3,2,67.5,Hoàng Mai,Athena Complex Pháp Vân,1417.5
02/10/2020,3,2,NULL,110.0,Đống Đa,Capital Garden 102 Trường Chinh Kinh Đô,3200.0
02/10/2020,4,3,2,86.0,Long Biên,TSG Lotus Sài Đồng,NULL
02/10/2020,2,2,NULL,79.0,Nam Từ Liêm,Vinhomes Gardenia,2700.0
02/10/2020,3,3,2,100.0,Thanh Xuân,Chung cư Ban cơ yếu Chính phủ,2700.0
02/10/2020,1,2,2,67.0,Nam Từ Liêm,Mon City,2300.0
02/10/2020,0,3,2,97.6,Bắc Từ Liêm,Sunshine City,3980.0
02/10/2020,2,3,2,130.0,Nam Từ Liêm,Khu đô thị Mỹ Đình II,2730.0
02/10/2020,4,2,2,80.36,Cầu Giấy,Chung cư C22 Bộ Công an,NULL
02/10/2020,0,3,2,80.4,Thanh Xuân,Hà Nội Center Point,3200.0
02/10/2020,4,2,NULL,74.0,Nam Từ Liêm,Vinhomes Skylake,3000.0
02/10/2020,4,2,NULL,75.0,Ba Đình,Vinhomes Metropolis - Liễu Giai,5000.0
02/10/2020,1,3,NULL,95.54,Hà Đông,Chung cư Booyoung,2540.0
02/10/2020,0,2,NULL,63.1,Hoàng Mai,Khu nhà ở Quân đội K35 Tân Mai,NULL
02/10/2020,4,3,2,92.0,Cầu Giấy,Dream Land Bonanza,3400.0
02/10/2020,0,2,NULL,68.0,Nam Từ Liêm,Vinhomes Skylake,2800.0
02/10/2020,0,2,2,92.0,Cầu Giấy,Ha Do Park View,3000.0
02/10/2020,1,1,NULL,28.2,Nam Từ Liêm,Vinhomes Smart City Đại Mỗ,NULL
02/10/2020,2,2,NULL,54.0,Hà Đông,Anland 2,2200.0
02/10/2020,1,3,2,99.0,Bắc Từ Liêm,Goldmark City,2600.0
02/10/2020,1,2,2,66.8,Hoàng Mai,Gelexia Riverside,1400.0
02/10/2020,0,2,2,82.0,Cầu Giấy,Vinhomes D'Capitale,2800.0
02/10/2020,1,2,1,51.8,Cầu Giấy,Cầu Giấy Center Point,2072.0
02/10/2020,2,2,2,62.0,Hà Đông,FLC Star Tower,1470.02
02/10/2020,3,3,2,80.0,Hoài Đức,THT New City,1280.0
02/10/2020,3,2,2,80.0,Nam Từ Liêm,Vinhomes Gardenia,2900.0
02/10/2020,2,3,2,110.62,Bắc Từ Liêm,Goldmark City,2800.0
02/10/2020,0,2,2,110.0,Thanh Xuân,Royal City,4620.0
02/10/2020,4,2,2,73.0,Hoài Đức,Gemek Tower,1300.0
02/10/2020,0,2,2,69.0,Nam Từ Liêm,Vinhomes West Point,2800.0
02/10/2020,4,2,2,70.22,Cầu Giấy,Luxury Park Views,3400.0
02/10/2020,0,2,2,82.0,Thanh Xuân,Pandora 53 Triều Khúc,2300.0
02/10/2020,0,1,1,50.0,Hoàng Mai,Khu đô thị Kim Văn - Kim Lũ (Golden Silk),960.0
02/10/2020,2,1,NULL,46.0,Tây Hồ,Sun Grand City,NULL
02/10/2020,3,1,1,46.3,Gia Lâm,Vinhomes Ocean Park Gia Lâm,1250.0
02/10/2020,4,2,2,69.4,Gia Lâm,Vinhomes Ocean Park Gia Lâm,2080.0
02/10/2020,2,3,3,167.0,Tây Hồ,Sun Grand City,17000.0
02/10/2020,1,NULL,NULL,59.0,Long Biên,Berriver Long Biên,2065.0
02/10/2020,0,1,NULL,NULL,Nam Từ Liêm,Vinhomes Skylake,2200.0
02/10/2020,2,2,2,86.0,Đống Đa,Vinhomes Nguyễn Chí Thanh,4600.0
02/10/2020,0,2,NULL,72.2,Bắc Từ Liêm,The Link 345-CT1,NULL
02/10/2020,4,4,NULL,144.0,Nam Từ Liêm,Vinhomes West Point,5400.0
02/10/2020,3,2,2,94.0,Hai Bà Trưng,Times City,3150.0
02/10/2020,2,2,NULL,80.0,Hai Bà Trưng,Vinhomes Times City - Park Hill,3600.0
02/10/2020,0,2,2,80.0,Ba Đình,Vinhomes Metropolis - Liễu Giai,NULL
02/10/2020,1,2,2,79.0,Hai Bà Trưng,Vinhomes Times City - Park Hill,3350.0
02/10/2020,4,2,2,65.0,Long Biên,Hà Nội Homeland,1600.0
02/10/2020,3,3,2,187.0,Thanh Xuân,Royal City,NULL
02/10/2020,3,1,1,45.0,Hoàng Mai,Khu đô thị Kim Văn - Kim Lũ (Golden Silk),840.0
02/10/2020,1,3,2,115.0,Nam Từ Liêm,Vinhomes Gardenia,4140.0
02/10/2020,1,3,2,95.0,Bắc Từ Liêm,Khu đô thị mới Resco,1900.0
02/10/2020,0,2,1,75.0,Hai Bà Trưng,Vinhomes Times City - Park Hill,2700.0
02/10/2020,0,1,1,53.0,Hai Bà Trưng,Times City,1950.0
02/10/2020,2,2,2,105.0,Thanh Xuân,Royal City,3700.0
02/10/2020,1,3,2,82.0,Bắc Từ Liêm,An Bình City,3300.0
02/10/2020,0,3,2,120.0,Bắc Từ Liêm,Nhà ở cho cán bộ chiến sỹ Bộ Công an,3384.0
02/10/2020,0,3,2,120.0,Bắc Từ Liêm,Nhà ở cho cán bộ chiến sỹ Bộ Công an,3240.0
02/10/2020,2,1,NULL,27.7,Nam Từ Liêm,Vinhomes Green Bay Mễ Trì,1150.0
02/10/2020,3,3,2,120.0,Bắc Từ Liêm,Nhà ở cho cán bộ chiến sỹ Bộ Công an,3360.0
02/10/2020,1,2,2,72.2,Hai Bà Trưng,Vinhomes Times City - Park Hill,3070.0
02/10/2020,3,2,2,77.4,Thanh Xuân,Chung cư PCC1 Triều Khúc,2430.0
02/10/2020,4,2,2,75.0,Thanh Trì,Chung cư Viện 103,1500.0
02/10/2020,1,3,2,69.0,Chương Mỹ,Lộc Ninh Singashine,975.0
02/10/2020,3,2,2,75.0,Hà Đông,Mipec City View,1500.0
02/10/2020,3,3,2,120.0,Bắc Từ Liêm,Nhà ở cho cán bộ chiến sỹ Bộ Công an,3500.0
02/10/2020,1,2,2,100.0,Cầu Giấy,Chelsea Park,3000.0
02/10/2020,0,3,2,120.0,Bắc Từ Liêm,Nhà ở cho cán bộ chiến sỹ Bộ Công an,3500.0
02/10/2020,1,1,NULL,42.8,Nam Từ Liêm,Vinhomes Smart City Đại Mỗ,1200.0
02/10/2020,0,2,2,87.0,Bắc Từ Liêm,N01-T4 Ngoại Giao Đoàn,NULL
02/10/2020,0,2,2,70.0,Long Biên,Vinhomes Symphony Riverside,2300.0
02/10/2020,4,2,2,94.3,Hai Bà Trưng,Times City,3420.0
02/10/2020,4,3,NULL,95.54,Hà Đông,Chung cư Booyoung,2547.0
02/10/2020,1,2,NULL,60.0,Đống Đa,Chung cư 187 Tây Sơn,2300.0
02/10/2020,4,2,2,66.0,Long Biên,Vinhomes Symphony Riverside,2300.0
02/10/2020,2,3,2,98.5,Nam Từ Liêm,C14 - Bộ Công An,1950.0
02/10/2020,0,2,2,83.0,Hai Bà Trưng,Times City,2930.0
02/10/2020,1,3,2,113.2,Bắc Từ Liêm,N03-T2 Ngoại Giao Đoàn,4250.0
02/10/2020,0,3,NULL,121.0,Đống Đa,Sông Hồng Park View,4100.0
02/10/2020,4,3,NULL,85.0,Thanh Xuân,Hà Nội Center Point,3100.0
02/10/2020,0,3,2,76.0,Hoàng Mai,HH2 Linh Đàm,1300.0
02/10/2020,2,2,2,67.0,Hoàng Mai,Khu đô thị mới Linh Đàm,1200.0
02/10/2020,1,2,2,82.0,Tây Hồ,Sunshine Riverside,3100.0
02/10/2020,3,3,2,115.0,Nam Từ Liêm,C37 Bộ Công An - Bắc Hà Tower,2530.0
02/10/2020,2,1,1,43.4,Gia Lâm,Vinhomes Ocean Park Gia Lâm,1200.0
02/10/2020,4,3,2,75.0,Nam Từ Liêm,Vinhomes Smart City Đại Mỗ,2500.0
02/10/2020,3,3,2,103.0,Bắc Từ Liêm,Goldmark City,3090.0
02/10/2020,1,3,2,110.0,Thanh Xuân,Sapphire Palace,2900.0
02/10/2020,0,2,2,69.0,Hoàng Mai,Bea Sky,2180.0
02/10/2020,3,2,2,80.0,Thanh Xuân,Imperial Plaza,2300.0
02/10/2020,4,3,2,119.0,Đống Đa,Sông Hồng Park View,3950.0
02/10/2020,2,2,1,58.5,Gia Lâm,Khu đô thị Đặng Xá 1,1080.0
02/10/2020,4,3,2,90.0,Thanh Xuân,Thống Nhất Complex,2950.0
02/10/2020,2,2,2,72.0,Long Biên,TSG Lotus Sài Đồng,1900.0
02/10/2020,1,3,2,74.6,Gia Lâm,Vinhomes Ocean Park Gia Lâm,2300.0
02/10/2020,4,NULL,NULL,155.0,Đống Đa,Chung cư B4 - B14 Kim Liên,4650.0
02/10/2020,2,1,NULL,55.0,Nam Từ Liêm,Vinhomes Green Bay Mễ Trì,1950.0
02/10/2020,3,3,2,91.0,Nam Từ Liêm,The Zei Mỹ Đình,3500.0
02/10/2020,4,3,2,110.62,Bắc Từ Liêm,Goldmark City,3000.0
02/10/2020,3,3,2,133.0,Đống Đa,Chung cư M5 Nguyễn Chí Thanh,3650.0
02/10/2020,3,3,2,120.0,Hà Đông,HUD3 Tower,2200.0
02/10/2020,2,2,2,80.0,Ba Đình,Vinhomes Metropolis - Liễu Giai,5350.0
02/10/2020,3,2,1,55.0,Nam Từ Liêm,Mỹ Đình Pearl,1800.0
02/10/2020,1,2,2,98.35,Cầu Giấy,Ha Do Park View,3245.5499999999997
02/10/2020,2,3,2,115.0,Nam Từ Liêm,Tây Hà Tower,2900.0
02/10/2020,3,3,2,99.0,Cầu Giấy,Vinhomes D'Capitale,5050.0
02/10/2020,3,3,2,70.0,Hoàng Mai,Helios Tower 75 Tam Trinh,2020.0
02/10/2020,4,2,2,70.0,Cầu Giấy,Vinhomes D'Capitale,2890.0
02/10/2020,2,3,2,120.0,Ba Đình,Vinhomes Metropolis - Liễu Giai,8500.0
18/09/2020,4,2,2,67.2,Hà Đông,Tòa Tháp Thiên Niên Kỷ,NULL
11/09/2020,2,2,2,74.5,Tây Hồ,Khu đô thị Nam Thăng Long - Ciputra,2197.75
02/10/2020,4,2,NULL,70.0,Cầu Giấy,Vinhomes D'Capitale,2880.0
02/10/2020,4,2,2,75.0,Bắc Từ Liêm,Khu đô thị mới Nghĩa Đô,2300.0
02/10/2020,3,3,NULL,90.0,Bắc Từ Liêm,An Bình City,2900.0
02/10/2020,2,3,2,94.0,Hai Bà Trưng,Sunshine Garden,3000.0
02/10/2020,0,4,3,151.0,Hai Bà Trưng,Vinhomes Times City - Park Hill,7450.0
02/10/2020,0,3,NULL,87.3,Nam Từ Liêm,An Bình Plaza,2600.0
02/10/2020,0,3,2,92.0,Thanh Xuân,Stellar Garden,2600.0
02/10/2020,1,1,1,28.0,Nam Từ Liêm,Vinhomes Smart City Đại Mỗ,950.0
02/10/2020,1,3,2,124.0,Thanh Xuân,Chung cư Ban cơ yếu Chính phủ,3286.0
02/10/2020,3,3,2,116.5,Cầu Giấy,Khu đô thị Trung Hòa - Nhân Chính,3300.0
02/10/2020,0,4,3,159.6,Bắc Từ Liêm,Goldmark City,NULL
02/10/2020,3,2,2,66.0,Hoàng Mai,Gelexia Riverside,1480.0
02/10/2020,0,3,2,74.9,Nam Từ Liêm,Vinhomes Smart City Đại Mỗ,2540.0
02/10/2020,2,2,1,49.0,Nam Từ Liêm,FLC Garden City,967.75
02/10/2020,1,1,1,42.8,Nam Từ Liêm,Vinhomes Smart City Đại Mỗ,1330.0
02/10/2020,0,3,2,115.0,Cầu Giấy,Khu đô thị mới Dịch Vọng,3550.0
02/10/2020,0,2,2,94.0,Cầu Giấy,Eurowindow Multi Complex,3300.0
02/10/2020,2,NULL,NULL,62.0,Hoài Đức,Thăng Long Capital,1220.0
02/10/2020,2,2,2,69.0,Hoài Đức,THT New City,1090.2
02/10/2020,0,1,NULL,NULL,Nam Từ Liêm,Vinhomes West Point,1600.0
02/10/2020,2,2,NULL,102.2,Hai Bà Trưng,Sun Grand City Ancora Residence,4500.0
02/10/2020,2,2,2,65.0,Hà Đông,Khu đô thị mới Xa La,1.05
02/10/2020,2,1,NULL,48.0,Hà Đông,Tháp doanh nhân Tower,1300.0
02/10/2020,2,NULL,NULL,98.5,Hoàng Mai,Mandarin Garden 2,3250.0
02/10/2020,1,2,2,70.0,Hoàng Mai,Gelexia Riverside,1500.0
02/10/2020,2,1,1,55.0,Đống Đa,Vinhomes Nguyễn Chí Thanh,3800.0
02/10/2020,3,3,2,90.0,Hoàng Mai,Chung cư Thông tấn xã Việt Nam,2200.0
02/10/2020,3,NULL,NULL,106.0,Thanh Xuân,Imperial Plaza,3600.0
02/10/2020,2,2,2,70.0,Hà Đông,Khu đô thị Kiến Hưng,880.0
02/10/2020,4,2,1,61.3,Ba Đình,Chung cư C1 Thành Công,NULL
02/10/2020,4,3,2,93.51,Hai Bà Trưng,Sunshine Garden,3000.0
02/10/2020,0,NULL,NULL,100.0,Hoàng Mai,T&T Riverview,2350.0
02/10/2020,3,3,2,94.52,Long Biên,Hà Nội Homeland,1950.0
02/10/2020,0,3,2,114.0,Thanh Xuân,Rivera Park Hà Nội,NULL
02/10/2020,3,2,2,70.03,Thanh Xuân,Rivera Park Hà Nội,NULL
02/10/2020,4,3,2,93.0,Thanh Xuân,Rivera Park Hà Nội,NULL
